"","date_dt","total_cases","new_case","total_deaths","new_deaths","total_persons_tested","new_persons_tested"
"1",2020-05-31,53093,69,2216,1,611950,148
"2",2020-05-30,53024,143,2215,5,611802,1193
"3",2020-05-29,52881,528,2210,10,610609,5567
"4",2020-05-28,52353,967,2200,20,605042,10667
"5",2020-05-27,51386,1016,2180,32,594375,13995
"6",2020-05-26,50370,1388,2148,30,580380,15527
"7",2020-05-25,48982,446,2118,21,564853,4001
"8",2020-05-24,48536,373,2097,25,560852,4014
"9",2020-05-23,48163,690,2072,29,556838,11946
"10",2020-05-22,47473,1014,2043,38,544892,16707
"11",2020-05-21,46459,1012,2005,23,528185,15533
"12",2020-05-20,45447,1157,1982,21,512652,16642
"13",2020-05-19,44290,1040,1961,35,496010,16426
"14",2020-05-18,43250,1072,1926,39,479584,17541
"15",2020-05-17,42178,368,1887,32,462043,4504
"16",2020-05-16,41810,683,1855,49,457539,13197
"17",2020-05-15,41127,1288,1806,42,444342,20786
"18",2020-05-14,39839,1322,1764,31,423556,19088
"19",2020-05-13,38517,951,1733,37,404468,19317
"20",2020-05-12,37566,1194,1696,45,385151,18299
"21",2020-05-11,36372,1121,1651,25,366852,16672
"22",2020-05-10,35251,346,1626,31,350180,4664
"23",2020-05-09,34905,709,1595,44,345516,12618
"24",2020-05-08,34196,968,1551,48,332898,16356
"25",2020-05-07,33228,1011,1503,48,316542,18003
"26",2020-05-06,32217,1061,1455,50,298539,19324
"27",2020-05-05,31156,1354,1405,36,279215,16934
"28",2020-05-04,29802,807,1369,41,262281,16152
"29",2020-05-03,28995,341,1328,40,246129,5129
"30",2020-05-02,28654,630,1288,48,241000,13577
"31",2020-05-01,28024,804,1240,36,227423,16336
"32",2020-04-30,27220,792,1204,44,211087,16462
"33",2020-04-29,26428,863,1160,41,194625,10701
"34",2020-04-28,25565,865,1119,52,183924,10361
"35",2020-04-27,24700,949,1067,37,173563,10222
"36",2020-04-26,23751,480,1030,41,163341,3670
"37",2020-04-25,23271,854,989,38,159671,8421
"38",2020-04-24,22417,931,951,43,151250,8111
"39",2020-04-23,21486,918,908,50,143139,5710
"40",2020-04-22,20568,748,858,46,137429,6136
"41",2020-04-21,19820,859,812,40,131293,7664
"42",2020-04-20,18961,934,772,48,123629,5784
"43",2020-04-19,18027,472,724,37,117845,2848
"44",2020-04-18,17555,601,687,39,114997,5381
"45",2020-04-17,16954,856,648,39,109616,6880
"46",2020-04-16,16098,855,609,60,102736,6615
"47",2020-04-15,15243,846,549,35,96121,7037
"48",2020-04-14,14397,641,514,48,89084,4573
"49",2020-04-13,13756,659,466,42,84511,3271
"50",2020-04-12,13097,381,424,37,81240,1155
"51",2020-04-11,12716,445,387,30,80085,3049
"52",2020-04-10,12271,566,357,30,77036,5978
"53",2020-04-09,11705,585,327,37,71058,5669
"54",2020-04-08,11120,578,290,39,65389,4200
"55",2020-04-07,10542,694,251,27,61189,3454
"56",2020-04-06,9848,490,224,17,57735,2751
"57",2020-04-05,9358,552,207,24,54984,1529
"58",2020-04-04,8806,574,183,21,53455,2616
"59",2020-04-03,8232,761,162,26,50839,4780
"60",2020-04-02,7471,585,136,22,46059,4225
"61",2020-04-01,6886,596,114,19,41834,4266
"62",2020-03-31,6290,618,95,16,37568,3888
"63",2020-03-30,5672,589,79,11,33680,3729
"64",2020-03-29,5083,354,68,15,29951,1070
"65",2020-03-28,4729,373,53,8,28881,2602
"66",2020-03-27,4356,354,45,9,26279,3147
"67",2020-03-26,4002,361,36,4,23132,2702
"68",2020-03-25,3641,420,32,7,20430,2639
"69",2020-03-24,3221,270,25,3,17791,2444
"70",2020-03-23,2951,284,22,7,15347,2218
"71",2020-03-22,2667,241,15,4,13129,732
"72",2020-03-21,2426,185,11,3,12397,845
"73",2020-03-20,2241,237,8,3,11552,1896
"74",2020-03-19,2004,210,5,4,9656,1763
"75",2020-03-18,1794,175,1,0,7893,1640
"76",2020-03-17,1619,200,1,0,6253,1747
"77",2020-03-16,1419,214,1,0,4506,1413
"78",2020-03-15,1205,159,1,0,3093,513
"79",2020-03-14,1046,140,1,0,2580,473
"80",2020-03-13,906,146,1,0,2107,771
"81",2020-03-12,760,154,1,0,1336,652
"82",2020-03-11,606,130,1,0,684,259
"83",2020-03-10,476,90,1,1,425,126
