"","Locations","Total.Cases","Rate","collect_time","Deaths","Death_rate","zip","park_number","grocery_count","business_count","herat_disease_perc","diabetes_perc","Asthma_perc","physical_activity_perc","income_level","tot_pop","white","black","native","asian","PI","other","twoplus","nohisl","hislat","male","male_under","male5to9","male10to14","male15to17","male18to19","male20","male21","male22to24","male25to29","male30to34","male35to39","male40to44","male45to49","male50to54","male55to59","male60to61","male62to64","male65to66","male67to69","male70to74","male75to79","male80to84","male85up","female","femunder5","fem5to9","fem10to14","fem15to17","fem18and19","fem20","fem21","fem22to24","fem25to29","fem30to34","fem35to39","fem40to44","fem45to49","fem50to54","fem55to59","fem60and61","fem62to64","fem65and66","fem67to69","fem70to74","fem75to79","fem80to84","fem85andup","density"
"1","beverly hills",120,347.62,"2020/5/12",NA,NA,"90210, 90211, 90212",0,0,2472.5,6.6,6.66666666666667,12.2333333333333,35.3,108055.333333333,13390.626595,11362.780595,282.6721557,9.72330147,942.7617595,13.122454785,171.4499814,608.1163875,12387.869165,1002.757433,6751.599325,397.47778755,416.22400475,337.0464525,153.19246465,144.19654745,49.647948185,51.15627765,168.2461089,138.19816465,310.99787525,445.3666929,456.53836475,655.53798,689.6707395,545.4630365,151.9626945,199.387071,240.4992202,231.94934755,307.4557356,265.41184725,182.77755025,213.1954242,6639.02722,300.21739855,297.57481635,375.10937505,171.29741385,181.99122325,39.17418934,60.2026694,150.3907405,234.62387725,292.8693652,508.875645,480.2447785,541.667398,637.0117075,523.1506465,160.0938903,350.61669115,176.6614269,192.68578485,314.67799565,284.0227662,139.3688949,226.4985508,787.462424
"2","commerce",21,160.69,"2020/5/12",NA,NA,"90040, 90023, 90023",5.5,8,1610,4,10.2,12.3,40.9,41905,11119.29533,2898.513354,1121.5062505,84.52992455,5527.493575,17.371917925,1135.847496,334.03279815,8611.321495,2507.9738915,6198.40386,173.8303523,186.6092777,206.9165094,115.25432755,118.562041,125.5541185,118.03767555,425.1813558,863.608121,712.882739,565.044704,539.1235025,377.64404555,364.5739687,289.3886584,122.55199095,205.1379487,83.63263395,87.4489721,129.1199556,178.38074985,114.2982589,95.622033,4920.891333,267.7917131,191.5685292,119.88480725,89.1117322,63.6262963,65.4577511,36.587020675,258.7076234,680.7358005,389.70538305,391.71541875,249.67459555,329.10532175,205.8182512,294.15737895,113.8434128,126.0925954,174.2715266,165.0650149,148.865922,180.63575335,200.728109,177.74132785,4658.051445
"3","culver city",118,296,"2020/5/12",NA,NA,"90066, 90230, 90232",5.75,5.75,4289.5,4.8,7.86666666666667,10.1333333333333,32.0333333333333,78901.6666666667,13614.0966875,8405.688535,588.20970125,287.6839805,2407.6836505,14.800129775,1171.64983075,738.38089925,10320.5383925,3293.5583025,6833.6074925,445.59051675,326.893627,269.4419355,175.679250125,90.9682776,63.35610995,79.854504225,284.79325075,714.14669275,795.55715925,650.38342425,525.54190075,499.01159775,431.066656,330.529966,140.2925791,167.72668745,151.63529745,114.93420315,231.45658715,143.807608025,104.894819925,96.044853125,6780.4892,537.10339975,300.701465,208.380279575,136.01157285,45.619254625,78.696532,70.4182425,382.9482005,764.9394145,693.3454955,609.59529375,504.795519,384.41124575,424.0820585,346.8950095,147.7417588,185.051342575,135.0478744,157.560705525,233.46084285,157.14502465,135.570157975,140.968512825,3262.9371575
"4","gardena",191,311.53,"2020/5/12",NA,NA,"90247, 90248, 90249",1,0,648.25,5.75,15.05,9.6,31.8,52914.3333333333,14478.318605,4204.1130355,3104.835315,41.3876581025,1827.07425825,31.60122447275,4674.6676395,594.639435025,6092.4987875,8385.81979,7019.8976675,639.616332475,573.774637475,528.3962191,280.979044125,194.17344215,89.8509839125,139.897777475,363.732943725,528.861155425,519.90879425,576.273579475,471.17337295,410.093294025,474.1553172,370.689460525,161.4872848,143.824389925,76.11054225,82.781296,138.4759692,136.4139445,62.849474935,56.3784005425,7458.42091,554.790810575,565.16989605,496.622291875,329.3631751,194.1455707,127.15312705,156.3769594,327.7247024,580.958529875,621.577500575,537.2687493,443.995417175,472.597164225,439.565876025,458.66679685,143.000390125,191.499126325,131.101082025,142.4875702,157.9523842,147.6913226,118.56540325,120.14700215,4541.03367775
"5","west hollywood",148,400.53,"2020/5/12",NA,NA,"90046, 90048, 90069",2.25,2.91666666666667,3107,6.16666666666667,4.7,15.7,48.3666666666667,79263,6557.74542,4896.77851,355.734939166667,27.9129535166667,483.903537666667,7.79268210666667,394.712849166667,390.909944666667,5726.886515,830.858942166667,3640.86053833333,106.01437155,78.09150165,42.5614245,41.3041596,54.3406513,36.4577656833333,38.1992866833333,185.870247166667,487.351408833333,509.739739166667,422.7949525,332.677889833333,312.976435333333,248.102377666667,251.458196666667,78.98525415,90.2893466,60.20359815,51.27900695,69.1510273833333,51.0136416833333,29.0853741,62.9128931,2916.884845,68.3609536166667,55.2987641,88.16273365,35.0811797666667,46.1094680166667,22.2231929,51.6805035333333,172.575035166667,485.302995166667,356.8352315,223.394541333333,238.658910666667,194.195879,178.668129833333,138.613878933333,68.2806683166667,73.2329852666667,58.44638245,51.7280305166667,89.89753885,64.9018323666667,47.9338481166667,107.302180466667,781.396174666667
"6","alsace",36,289.27,"2020/5/12",NA,NA,"90066",1.75,4.75,1672.5,4.5,6.9,10,31.4,75209,13614.0966875,8405.688535,588.20970125,287.6839805,2407.6836505,14.800129775,1171.64983075,738.38089925,10320.5383925,3293.5583025,6833.6074925,445.59051675,326.893627,269.4419355,175.679250125,90.9682776,63.35610995,79.854504225,284.79325075,714.14669275,795.55715925,650.38342425,525.54190075,499.01159775,431.066656,330.529966,140.2925791,167.72668745,151.63529745,114.93420315,231.45658715,143.807608025,104.894819925,96.044853125,6780.4892,537.10339975,300.701465,208.380279575,136.01157285,45.619254625,78.696532,70.4182425,382.9482005,764.9394145,693.3454955,609.59529375,504.795519,384.41124575,424.0820585,346.8950095,147.7417588,185.051342575,135.0478744,157.560705525,233.46084285,157.14502465,135.570157975,140.968512825,3262.9371575
"7","angelino heights",11,439.65,"2020/5/12",NA,NA,"90026",4.75,7,2129.25,4.5,9.2,11.1,40.1,54342,19337.05093,11258.362735,669.2689415,193.2631241775,3216.713917,19.9397524525,3258.04733525,721.45510625,10502.6781125,8834.372725,9842.4902975,503.768493475,428.786890675,428.4727467,242.46542405,217.8925369,90.64995815,112.74549105,454.612691975,1211.607321,1157.01868375,960.9246495,737.393458,734.2453935,710.61066825,501.17417655,189.583766725,259.720560225,142.6992793,210.3985616,173.26822175,154.2269586,107.38240685,112.841957075,9494.5605925,465.89336855,396.9914119,469.177040625,231.750207375,171.31804035,89.2222531025,74.2402626475,474.4440908,1125.16506225,1052.87105725,776.77407625,813.7282365,606.2174385,554.96167125,491.8919929,169.08122275,302.365687025,137.50601625,245.637152575,259.48936605,222.406360175,187.45081295,175.9777782,5714.45603
"8","arleta",172,500.44,"2020/5/12",NA,NA,"91331, 91331",5.75,0,1547.5,4.1,12.6,13.5,32.6,57353,8898.0793125,5187.6076425,109.297168225,53.3413822,1069.31478125,0,2256.84306825,221.67526375,1876.44296925,7021.63633,4463.2601875,257.6563625,245.089483925,251.1384935,227.356733975,135.246823575,69.77279895,91.73768725,227.579213975,410.68571075,342.30042375,281.79222525,266.92279175,393.755948,323.18064225,285.17915825,89.370679425,135.256620375,81.914385975,86.21050625,83.92948835,87.243673875,42.8918412,47.04852355,4434.8190925,270.46367575,287.2155185,268.7817235,200.9862857,113.429363825,82.4674047,61.959185725,211.6608186,409.18633625,338.57068125,315.081126,297.29047075,292.823618,300.0132405,246.392175775,121.041232925,107.8393573,60.458650375,66.7226131,135.615537925,69.09945725,95.77651145,81.944098425,2726.523805
"9","atwater village",38,259.1,"2020/5/12",NA,NA,"90039, 90039",2.2,1.6,1033.8,5.2,8.4,12.8,41.1,81394,3820.432956,1789.6254896,52.77146236,16.326811756,818.264195,10.9511819386,996.1493556,136.34444096,1863.9867418,1956.4462414,1895.8613716,94.523144,115.01000264,67.41407038,68.87333178,32.848816958,16.789417106,23.936189064,77.00844008,163.8751452,215.56531686,166.55041796,157.31519746,142.69308408,90.44278914,103.2728031,49.00203144,52.19142768,24.044533152,52.65616476,68.94299762,61.956848752,15.230213866,35.718995584,1924.5715558,72.35272976,86.78221594,81.56631196,61.86848266,35.122318494,20.038581714,17.875792694,66.04665834,203.97802542,161.46916754,165.7357715,115.1708843,153.41505642,120.83541726,105.03412352,60.684565838,85.92048242,49.811515816,46.685229284,69.735639328,72.67645444,37.734296604,34.031857532,3103.3550794
"10","beverly crest",35,279.44,"2020/5/12",NA,NA,"90210",0,0,632.5,8,7,14,37.5,149732,13390.626595,11362.780595,282.6721557,9.72330147,942.7617595,13.122454785,171.4499814,608.1163875,12387.869165,1002.757433,6751.599325,397.47778755,416.22400475,337.0464525,153.19246465,144.19654745,49.647948185,51.15627765,168.2461089,138.19816465,310.99787525,445.3666929,456.53836475,655.53798,689.6707395,545.4630365,151.9626945,199.387071,240.4992202,231.94934755,307.4557356,265.41184725,182.77755025,213.1954242,6639.02722,300.21739855,297.57481635,375.10937505,171.29741385,181.99122325,39.17418934,60.2026694,150.3907405,234.62387725,292.8693652,508.875645,480.2447785,541.667398,637.0117075,523.1506465,160.0938903,350.61669115,176.6614269,192.68578485,314.67799565,284.0227662,139.3688949,226.4985508,787.462424
