FID,OBJECTID,NAME,zip code,WADDRESS,DWEBSITE,DEMAIL,DPHONE,NC_ID,CERTIFIED,TOOLTIP,NLA_URL,SERVICE_RE,NC_IDstr,nc_area,NC_IDstr_1,tot_pop,white,black,native,asian,PI,other,twoplus,nohisl,hislat,male,male_under,male5to9,male10to14,male15to17,male18to19,male20,male21,male22to24,male25to29,male30to34,male35to39,male40to44,male45to49,male50to54,male55to59,male60to61,male62to64,male65to66,male67to69,male70to74,male75to79,male80to84,male85up,female,femunder5,fem5to9,fem10to14,fem15to17,fem18and19,fem20,fem21,fem22to24,fem25to29,fem30to34,fem35to39,fem40to44,fem45to49,fem50to54,fem55to59,fem60and61,fem62to64,fem65and66,fem67to69,fem70to74,fem75to79,fem80to84,fem85andup,Shape__Area,Shape__Length,density
1,1,LINCOLN HEIGHTS NC,90031,http://www.lincolnheightsnc.org/,http://empowerla.org/LHNC,LHNC@EmpowerLA.org,213-978-1551,47,2002/04/27 00:00:00+00,LINCOLN HEIGHTS NC,navigatela/reports/nc_reports.cfm?id=47,REGION 8 - NORTH EAST LA,47,3.172536107,47,31664.50209,11923.82712,520.1597558,215.1855722,7262.629799,40.93612951,11085.67748,616.0860691,9681.61484,21982.88692,16078.06458,1112.931075,1030.183672,1141.310089,1063.608009,583.9995814,269.0927097,351.2776461,715.5471721,1508.085303,1038.629564,965.6444796,1234.453455,1092.625133,1038.72263,860.2596938,225.1922761,308.020275,202.2064801,268.2809675,337.5368461,335.7283365,183.8110793,210.918153,15586.43726,1100.241613,871.7738599,938.4115403,880.9724961,444.781522,285.3486191,124.9760612,815.1790625,1164.843706,904.6730946,931.2966181,1094.342003,1171.13467,1012.354899,937.4077778,265.7225754,395.7926223,222.429698,338.2546313,515.2063462,304.8814767,360.4201946,505.9921635,12011192.55,16908.92551,9980.81693
2,2,VOICES OF 90037,90037, ,http://empowerla.org/VOICESOF90037,V9NC@EmpowerLA.org,213-978-1551,109,2008/06/16 00:00:00+00,VOICES OF 90037,navigatela/reports/nc_reports.cfm?id=109,REGION 9 - SOUTH LA 2,109,2.179818894,109,45411.9654,12493.84962,9845.644917,208.141397,445.5331323,0.123527347,21523.45377,895.2191006,11201.30677,34210.65871,22209.47806,1914.411158,1823.508872,1897.14174,1069.487726,652.076176,563.5685791,418.6096646,1036.819061,2150.944512,1660.458094,1583.840445,1401.45588,1364.88255,1469.16149,1041.407566,348.2559742,374.2541181,302.1670848,223.3369771,287.6110114,265.3427719,151.5211446,209.2154667,23202.48745,2022.435764,1759.33831,1631.204489,1077.994871,693.2424966,542.7080775,300.5532285,1321.38426,1820.891144,1791.344123,1686.853516,1390.69684,1393.263605,1588.580471,996.3916226,413.7320184,533.8282618,325.0615761,341.6851383,536.5051438,363.0986593,360.3611545,311.3326606,8238135.672,12046.58618,20832.90751
3,3,LOS FELIZ NC,90027,http://www.losfeliznc.org/,http://empowerla.org/LFNC,LFNC@EmpowerLA.org,213-978-1551,36,2002/06/11 00:00:00+00,LOS FELIZ NC,navigatela/reports/nc_reports.cfm?id=36,REGION 7 - EAST,36,9.144726399,36,34987.19798,24900.51544,903.5115553,28.73220255,4335.16988,44.44704522,3207.839647,1566.982338,29220.45419,5766.743768,17359.6156,950.4364319,542.1674133,727.1252823,253.3907787,203.9656563,89.91703445,88.77597956,410.6990993,2407.074777,2357.049582,1804.211839,1460.362082,1351.135806,1064.237373,718.3480864,258.4515721,743.2335382,292.521855,387.4833636,461.8794399,298.5852267,214.9596027,273.6036781,17627.58238,776.4921287,489.3781257,299.7277443,149.1380027,171.1726859,130.2596397,63.22688934,704.4668658,2822.172091,2391.753771,1496.898343,1261.249548,1255.558517,1088.840183,835.0648217,510.5556578,520.2499455,395.8566458,338.3884618,604.176829,435.2001929,473.1368012,414.6186097,34666533.2,38319.50638,3825.942566
4,4,MISSION HILLS NC,91340-91345,http://mhnconline.org/,http://empowerla.org/MHNC,MHNC@EmpowerLA.org,213-978-1551,101,2005/04/19 00:00:00+00,MISSION HILLS NC,navigatela/reports/nc_reports.cfm?id=101,REGION 1 - NORTH EAST VALLEY,101,3.595233217,101,22966.48399,13519.49234,393.9865864,143.4729931,1977.126747,0.921043321,6204.393302,727.0910698,6084.822069,16881.662,11282.68502,625.9157457,553.6026402,665.8321352,516.2121484,211.4907246,221.3118047,339.4413685,583.4162399,1018.428818,917.0178979,645.2413256,743.9872213,835.3077912,616.0189294,965.3133685,317.2109656,202.9200072,220.7234228,323.8450279,186.0277912,198.1758292,249.895671,125.348206,11683.79888,706.1971162,704.6596219,699.4049574,459.5150568,222.2943456,205.6140235,153.0296372,686.7534992,635.9755566,815.5766874,739.6610392,745.3876123,915.8502343,758.1838839,709.8551674,244.3431392,363.9210485,291.9955173,267.1736281,413.12172,299.9758767,309.0803285,336.2293337,13672582.97,18136.3155,6388.037327
5,5,GREATER TOLUCA LAKE NC,91602,http://www.gtlnc.org/,http://empowerla.org/GTLNC,GTLNC@EmpowerLA.org,213-978-1551,28,2002/09/10 00:00:00+00,GREATER TOLUCA LAKE NC,navigatela/reports/nc_reports.cfm?id=28,REGION 4 - SOUTH EAST VALLEY,28,1.50144016,28,11608.47764,8933.941013,710.2169706,61.51458285,932.4083837,54.15914626,363.1722766,553.0651958,9668.456546,1940.020975,5613.659271,285.4657232,169.6107851,222.1881506,79.29362094,41.58801303,86.0617879,95.45876651,204.2712656,547.7737554,642.819637,445.1577287,524.4226594,511.675179,395.1712861,364.036893,123.6770941,176.3062062,210.0267315,79.08068401,204.4341917,100.6522227,40.54756525,63.93929164,5994.818431,229.6279944,161.9818602,219.3173212,153.8558309,26.31545424,57.64114312,31.14349113,231.2315108,630.055653,633.4059222,497.4049908,498.3416474,408.0942657,431.6826788,471.7191452,193.4481059,265.985089,245.3326435,150.0573434,196.5728995,64.91407514,55.12082491,141.5684557,5694877.926,14937.98063,7731.561967
6,6,SOUTH CENTRAL NC,, ,http://empowerla.org/SOUTHCENTRALNC,SouthCentralNC@EmpowerLA.org,213-978-1551,78,2003/06/24 00:00:00+00,SOUTH CENTRAL NC,navigatela/reports/nc_reports.cfm?id=78,REGION 9 - SOUTH LA 2,78,2.596384373,78,44050.02363,18009.68268,2657.156054,617.5251233,545.9798909,21.31741698,21653.49954,544.8630976,3920.873277,40129.15042,22355.29081,1909.998492,1857.832782,1633.858882,1065.838914,741.5848966,468.3155178,360.532943,938.984858,1972.76774,1866.417661,1783.126863,1982.92102,1652.761294,1283.535873,947.4117877,216.5943365,485.3888073,223.0452404,219.7319172,278.7687344,203.9622151,135.5740361,126.3359334,21694.73296,1912.09511,1798.849335,1824.375835,1315.100298,884.687044,379.4333814,365.3880514,1281.608582,1463.804129,1684.678313,1261.093055,1654.097245,1370.608132,1298.297194,1086.938099,298.5750531,438.917459,295.1087065,238.8573449,266.3260376,233.1330126,191.2116536,151.549894,9817620.121,13964.57935,16965.91002
7,7,SUNLAND-TUJUNGA NC,91040,http://stnc.org/,http://empowerla.org/STNC,STNC@EmpowerLA.org,213-978-1551,10,2003/05/27 00:00:00+00,SUNLAND-TUJUNGA NC,navigatela/reports/nc_reports.cfm?id=10,REGION 1 - NORTH EAST VALLEY,10,11.92865767,10,41847.4582,31667.67775,888.5609298,179.3815407,3205.546224,264.821531,4100.454143,1541.016176,30101.98465,11745.47356,20431.37702,1239.516919,1119.210706,832.4939275,728.3015498,249.9741702,381.3430499,212.4640771,965.9066039,1431.743337,1414.672596,1204.809187,1308.191563,1415.810425,1873.52836,1824.533497,637.1973551,1108.226783,345.8514755,400.5455046,681.479066,534.6169603,305.4303179,215.5295982,21416.08118,935.6651494,881.3316487,1207.28122,664.7197881,328.9490224,119.5213473,347.6013232,836.0011744,1591.360214,1465.462786,1296.640448,1360.075432,1424.901324,1848.6492,1770.17633,614.2187952,980.7864264,541.492042,904.0564726,720.9535661,587.3469056,396.6789488,592.211698,45361321.34,36725.81065,3508.144785
8,8,PICO UNION NC,90006,http://www.picounionnc.org/,http://empowerla.org/PUNC,PUNC@EmpowerLA.org,213-978-1551,76,2003/06/03 00:00:00+00,PICO UNION NC,navigatela/reports/nc_reports.cfm?id=76,REGION 6 - CENTRAL 2,76,1.602028209,76,40625.99079,10714.95176,1311.754236,465.4461503,4438.859748,25.95530939,22867.32602,801.6976808,6775.593421,33850.39736,20519.71063,1367.94157,1669.935383,1311.682591,788.9487531,681.3736445,349.7469594,281.3231697,938.0754925,2036.961311,1816.176579,1904.378478,1283.905093,1180.747579,1254.301993,1026.419688,327.2566632,465.3412095,269.9891437,353.3166514,595.2946922,268.5978346,167.2149997,180.7811354,20106.28015,1330.238716,1425.258323,1433.516636,756.3902493,604.669794,249.8943807,238.4594902,796.3079572,1862.16273,1669.147183,1362.7092,1291.961979,1111.195471,1240.64268,1228.797548,393.3688099,499.5831723,457.2564375,446.3309054,632.5326074,452.4338183,315.6507939,307.7713263,6061306.363,10094.32897,25359.09827
9,9,FOOTHILL TRAILS DISTRICT NC,91040,http://www.ftdnc.org/,http://empowerla.org/FTDNC,FTDNC@EmpowerLA.org,213-978-1551,9,2003/03/25 00:00:00+00,FOOTHILL TRAILS DISTRICT NC,navigatela/reports/nc_reports.cfm?id=9,REGION 1 - NORTH EAST VALLEY,9,19.33345379,9,22453.42338,16345.5122,1433.831464,63.9929996,1849.087598,30.17847607,2125.009835,605.8107947,12120.65566,10332.76777,11366.76226,521.2358804,551.9814842,742.2395475,495.1602241,433.9629568,118.0584663,116.0141282,376.4631119,734.7009825,643.2587049,643.1106908,898.1375717,812.1887499,936.0951345,884.9822184,311.1289893,417.5595837,355.7576118,411.7390936,323.8704953,297.0002409,187.3910653,154.7254387,11086.66104,507.9035966,527.5258717,652.8669317,507.182259,310.1000764,198.0859351,166.9917733,293.53851,532.9864308,710.3518816,731.7637996,602.2852402,914.7969469,953.4844544,855.8553396,455.821634,305.4990548,283.2082936,287.6580298,360.7986758,410.3267042,228.7537535,288.8758953,73509189.73,68369.94047,1161.376732
10,10,TARZANA NC,91356,http://www.tarzananc.org/,http://empowerla.org/TNC,TNC@EmpowerLA.org,213-978-1551,17,2003/01/14 00:00:00+00,TARZANA NC,navigatela/reports/nc_reports.cfm?id=17,REGION 3 - SOUTH WEST VALLEY,17,7.905534538,17,38003.2612,28830.46355,1514.329625,23.08016992,2515.253606,0.492835383,3561.217197,1558.424097,29751.27131,8251.989544,18442.51723,1041.210097,961.7271538,1110.671556,923.941984,324.2521414,126.8549963,304.3875333,425.3305175,1491.695859,1175.779521,1365.685024,1314.293638,1226.867918,1326.354463,1021.325574,549.4123848,681.1391072,458.1359898,412.7821103,769.9375068,479.2348042,477.3406279,474.1567746,19560.74402,1084.035977,993.3654993,1066.835917,560.5416585,281.5837322,309.0056051,209.6670203,555.8297481,1319.715429,1301.340957,1224.44051,1286.374336,1480.459018,1610.863502,1234.488352,652.9633676,729.9957702,497.1682838,637.4900819,628.9191237,477.1221881,629.1614661,789.3763234,29985783.66,24204.39241,4807.171611
