"","Locations","Prediction","New_Infec_Per_Capita","Risk_Category"
"1","City of Beverly Hills",15,0.00112018656435397,"Medium Risk"
"2","City of Commerce",34,0.00305774772509797,"High Risk"
"3","City of Culver City",25,0.00183633189728659,"High Risk"
"4","City of West Hollywood",36,0.00548969160806489,"High Risk"
"5","Los Angeles - Alsace",19,0.00139561224193781,"High Risk"
"6","Los Angeles - Angelino Heights",25,0.00129285484588626,"Medium Risk"
"7","Los Angeles - Arleta",52,0.00584395779962879,"High Risk"
"8","Los Angeles - Atwater Village",14,0.00366450613352944,"High Risk"
"9","Los Angeles - Beverly Crest",8,0.000597432834322119,"Medium Risk"
"10","Los Angeles - Century Palms/Cove",55,0.00234340215590266,"High Risk"
"11","Los Angeles - Country Club Park",31,0.00170811444932986,"High Risk"
"12","Los Angeles - Eagle Rock",30,0.000918026875313889,"Medium Risk"
"13","Los Angeles - East Hollywood",33,0.0013747062519089,"Medium Risk"
"14","Los Angeles - Echo Park",31,0.00160314000889897,"High Risk"
"15","Los Angeles - Elysian Park",17,0.000734103933039006,"Medium Risk"
"16","Los Angeles - Elysian Valley",24,0.00628201051462189,"High Risk"
"17","Los Angeles - Encino",16,0.00034478179821811,"Medium Risk"
"18","Los Angeles - Exposition Park",50,0.00220206280699756,"High Risk"
"19","Los Angeles - Figueroa Park Square",12,0.000846659308409413,"Medium Risk"
"20","Los Angeles - Glassell Park",41,0.00331569372857992,"High Risk"
"21","Los Angeles - Granada Hills",45,0.000827470814018104,"Medium Risk"
"22","Los Angeles - Hancock Park",37,0.000845913549303311,"Medium Risk"
"23","Los Angeles - Harbor City",39,0.00165348629495928,"High Risk"
"24","Los Angeles - Harvard Heights",46,0.00452912030997878,"High Risk"
"25","Los Angeles - Highland Park",69,0.00122866102268583,"Medium Risk"
"26","Los Angeles - Hyde Park",29,0.00333441379454989,"High Risk"
"27","Los Angeles - Koreatown",79,0.00224504571072529,"High Risk"
"28","Los Angeles - Lake Balboa",40,0.00263159049289461,"High Risk"
"29","Los Angeles - Lincoln Heights",46,0.00290546176088632,"High Risk"
"30","Los Angeles - Los Feliz",33,0.00471601069895109,"High Risk"
"31","Los Angeles - Mar Vista",28,0.00205669172496098,"High Risk"
"32","Los Angeles - Marina Peninsula",16,0.00139011411237942,"High Risk"
"33","Los Angeles - Melrose",91,0.0138767204537196,"High Risk"
"34","Los Angeles - Mid-city",32,0.00176321491543727,"High Risk"
"35","Los Angeles - Mt. Washington",32,0.00258785851986726,"High Risk"
"36","Los Angeles - North Hills",69,0.00220620268292059,"High Risk"
"37","Los Angeles - North Hollywood",78,0.00305428948178652,"High Risk"
"38","Los Angeles - Northridge",48,0.00101664464065634,"Medium Risk"
"39","Los Angeles - Pacoima",81,0.00910308811096024,"High Risk"
"40","Los Angeles - Panorama City",97,0.00279764790820878,"High Risk"
"41","Los Angeles - Porter Ranch",17,0.00302122890392596,"High Risk"
"42","Los Angeles - Shadow Hills",14,0.00087090563339054,"Medium Risk"
"43","Los Angeles - Studio City",38,0.00369425862253606,"High Risk"
"44","Los Angeles - Sun Valley",59,0.00247917715315269,"High Risk"
"45","Los Angeles - Sunland",24,0.00149298108581235,"High Risk"
"46","Los Angeles - Tarzana",40,0.00210508249749893,"High Risk"
"47","Los Angeles - Thai Town",27,0.00385855420823271,"High Risk"
"48","Los Angeles - Toluca Lake",25,0.0236895834689311,"High Risk"
"49","Los Angeles - Toluca Terrace",20,0.00688282624294531,"High Risk"
"50","Los Angeles - Toluca Woods",19,0.00479664833636849,"High Risk"
"51","Los Angeles - Valley Glen",49,0.00326732016064923,"High Risk"
"52","Los Angeles - Valley Village",33,0.0102644557393962,"High Risk"
"53","Los Angeles - Van Nuys",79,0.00128328812875252,"Medium Risk"
"54","Los Angeles - Venice",20,0.00173565993896583,"High Risk"
"55","Los Angeles - Vermont Knolls",25,0.00176387355918628,"High Risk"
"56","Los Angeles - Vermont Square",38,0.00167356773331814,"High Risk"
"57","Los Angeles - Vermont Vista",58,0.00503341382300091,"High Risk"
"58","Los Angeles - Victoria Park",28,0.00154281305100761,"High Risk"
"59","Los Angeles - View Heights",11,0.00126477764620858,"Medium Risk"
"60","Los Angeles - Watts",112,0.00537198954464352,"High Risk"
"61","Los Angeles - Wellington Square",32,0.00176321491543727,"High Risk"
"62","Los Angeles - West Adams",54,0.0013222596506834,"Medium Risk"
"63","Los Angeles - West Los Angeles",37,0.00322335717415612,"High Risk"
"64","Los Angeles - Westchester",26,0.00177240340316539,"High Risk"
"65","Los Angeles - Westwood",39,0.00143272777183753,"High Risk"
"66","Los Angeles - Wilmington",74,0.00254880312078595,"High Risk"
"67","Los Angeles - Wilshire Center",63,0.00144033928665158,"High Risk"
"68","Los Angeles - Winnetka",27,0.00109954178449063,"Medium Risk"
"69","Los Angeles - Woodland Hills",23,0.000600378842495267,"Medium Risk"
"70","Unincorporated - Del Aire",15,0.00102254042490311,"Medium Risk"
"71","Unincorporated - Kagel/Lopez Canyons",21,0.000785340800103682,"Medium Risk"
"72","Unincorporated - Lake Manor",11,0.000871576845688884,"Medium Risk"
"73","Unincorporated - Marina del Rey",18,0.00156387837642685,"High Risk"
"74","Unincorporated - Rosewood/West Rancho Dominguez",14,0.00102834586248049,"Medium Risk"
"75","Unincorporated - Santa Monica Mountains",31,0.00198800667211807,"High Risk"
"76","Unincorporated - Twin Lakes/Oat Mountain",11,0.000871576845688884,"Medium Risk"
"77","Unincorporated - View Park/Windsor Hills",16,0.00183967657630339,"High Risk"
"78","Unincorporated - West LA",22,0.00191659075220093,"High Risk"
"79","City of Agoura Hills",28.1221156186057,NA,NA
"80","City of Alhambra",123.256474540754,NA,NA
"81","City of Arcadia",54.8453651952099,NA,NA
"82","City of Artesia",13.5324250846343,NA,NA
"83","City of Avalon",0,NA,NA
"84","City of Azusa",100.915413267986,NA,NA
"85","City of Baldwin Park",163.810788262612,NA,NA
"86","City of Bell",158.819224958792,NA,NA
"87","City of Bell Gardens",134.482156431476,NA,NA
"88","City of Bellflower",194.598497424407,NA,NA
